                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x71faf76f6010, 2000000 allocated for zone
Using /home/gaby/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/gaby/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding /home/gaby/trajectory_doom/misc/OriginalWADs/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2026-05-19 22:00:38 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy	 shield	 health	 ammo	 sector_id
2026-05-19 22:00:38	 171	 -224	-624	0	 85.78	 -1	-2 	  0	100	 50	(0,-2)
2026-05-19 22:00:40	 206	 -192	-594	0	 187.03	 -1	0 	  0	100	 50	(0,-2)
2026-05-19 22:00:41	 241	 -281	-627	0	 2.81	 2	2 	  0	100	 50	(-1,-2)
2026-05-19 22:00:42	 276	 -26	-590	0	 104.06	 1	1 	  0	100	 50	(0,-2)
When: 2026-05-19 22:00:43 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy	 shield	 health	 ammo	 sector_id
2026-05-19 22:00:44	 322	 1056	-3616	0	 90.00	 0	-1 	  0	100	 50	(4,-14)
2026-05-19 22:00:48	 428	 1061	-3592	0	 49.57	 0	3 	  0	100	 50	(4,-14)
2026-05-19 22:00:49	 463	 1066	-3558	0	 311.13	 0	0 	  0	100	 50	(4,-14)
2026-05-19 22:00:51	 561	 933	-3476	0	 109.34	 -6	5 	  0	100	 50	(3,-13)
2026-05-19 22:00:52	 596	 809	-3390	0	 155.04	 -6	1 	  0	100	 50	(3,-13)
2026-05-19 22:00:53	 631	 742	-3347	0	 112.85	 -1	0 	  0	100	 50	(2,-13)
2026-05-19 22:00:54	 666	 716	-3309	0	 195.47	 -4	-1 	  0	100	 50	(2,-13)
2026-05-19 22:00:55	 701	 640	-3328	-8	 186.68	 -1	-1 	  0	100	 50	(2,-13)
2026-05-19 22:00:56	 736	 560	-3315	-8	 146.25	 -3	1 	  0	100	 50	(2,-13)
2026-05-19 22:00:57	 771	 471	-3264	-8	 186.68	 -7	-1 	  0	100	 50	(1,-13)
2026-05-19 22:00:58	 806	 242	-3279	40	 163.83	 -3	-1 	  0	100	 50	(0,-13)
2026-05-19 22:00:59	 841	 141	-3170	83	 132.19	 -5	6 	  0	100	 50	(0,-12)
2026-05-19 22:01:00	 876	 117	-3091	-8	 191.95	 4	1 	  0	102	 50	(0,-12)
2026-05-19 22:01:01	 911	 250	-3049	-8	 200.74	 0	0 	  0	102	 50	(1,-12)
2026-05-19 22:01:03	 960	 256	-3056	-8	 271.05	 0	-1 	  0	102	 50	(1,-12)
2026-05-19 22:01:04	 1013	 188	-3090	-8	 288.63	 -1	-1 	  0	102	 50	(0,-12)
